CityName,CarbonFootprints,No,Domain,Component,English,Japanese,Type,領域,要素,要素OLD
Akita,110.08,1,Housing,Construction/maintenance,Akita,秋田市,City,住居,建築・維持管理,建設・維持管理
Aomori,98.13,1,Housing,Construction/maintenance,Aomori,青森市,City,住居,建築・維持管理,建設・維持管理
Chiba,190.93,1,Housing,Construction/maintenance,Chiba,千葉市,City,住居,建築・維持管理,建設・維持管理
ChugokuReg.,107.04,1,Housing,Construction/maintenance,ChugokuReg.,中国,Region,住居,建築・維持管理,建設・維持管理
ChukyoMetro.,109.02,1,Housing,Construction/maintenance,ChukyoMetro.,中京大都市圏,Metropolitan,住居,建築・維持管理,建設・維持管理
Cities50000+pop.,116.16,1,Housing,Construction/maintenance,Cities50000+pop.,人口５万以上の市,Class,住居,建築・維持管理,建設・維持管理
Fukui,116.77,1,Housing,Construction/maintenance,Fukui,福井市,City,住居,建築・維持管理,建設・維持管理
Fukuoka,104.99,1,Housing,Construction/maintenance,Fukuoka,福岡市,City,住居,建築・維持管理,建設・維持管理
Fukushima,155.81,1,Housing,Construction/maintenance,Fukushima,福島市,City,住居,建築・維持管理,建設・維持管理
Gifu,109.72,1,Housing,Construction/maintenance,Gifu,岐阜市,City,住居,建築・維持管理,建設・維持管理
Hamamatsu,119.33,1,Housing,Construction/maintenance,Hamamatsu,浜松市,City,住居,建築・維持管理,建設・維持管理
Hiroshima,116.13,1,Housing,Construction/maintenance,Hiroshima,広島市,City,住居,建築・維持管理,建設・維持管理
HokkaidoReg.,111.04,1,Housing,Construction/maintenance,HokkaidoReg.,北海道,Region,住居,建築・維持管理,建設・維持管理
HokurikuReg.,136.43,1,Housing,Construction/maintenance,HokurikuReg.,北陸,Region,住居,建築・維持管理,建設・維持管理
Japan,115.5,1,Housing,Construction/maintenance,Japan,全国,Country,住居,建築・維持管理,建設・維持管理
Kagoshima,110.86,1,Housing,Construction/maintenance,Kagoshima,鹿児島市,City,住居,建築・維持管理,建設・維持管理
Kanazawa,123.78,1,Housing,Construction/maintenance,Kanazawa,金沢市,City,住居,建築・維持管理,建設・維持管理
