CityName,Potential,Domain,Group,Options,領域,選択肢群,選択肢,English,Japanese,Type,選択肢OLD
Japan,-18.95,Other,Material Sufficiency,E-Books,その他,物質の充足性,電子書籍の利用,Japan,全国,Country,電子書籍
Japan,-90.07,Other,Material Sufficiency,Consumables Saving,その他,物質の充足性,消耗品を節約する,Japan,全国,Country,消耗品の節約
Japan,-29.01,Other,Durability and Repair,Furniture Longer Use,その他,長期使用と修理,家具を長く使う,Japan,全国,Country,家具の長期使用
Japan,-31.93,Other,Durability and Repair,Accessory Longer Use,その他,長期使用と修理,装飾品を長く使う,Japan,全国,Country,装飾品の長期使用
Japan,-44.64,Other,Durability and Repair,Electronics Longer Use,その他,長期使用と修理,小型家電を長く使う,Japan,全国,Country,電気製品の長期使用
Japan,-113.24,Other,Durability and Repair,Hobby Products Longer Use,その他,長期使用と修理,娯楽用品を長く使う,Japan,全国,Country,趣味製品の長期使用
Japan,-193.7,Other,Durability and Repair,Clothes Longer Use,その他,長期使用と修理,衣類を長く着る,Japan,全国,Country,衣類の長期使用
Japan,-162.16,Other,Decarbonized Leisure and Service,Healthy Lifestyles,その他,脱炭素レジャー・サービス,アルコールとたばこを控える,Japan,全国,Country,健康的な生活
Japan,-92.2,Other,Decarbonized Leisure and Service,Eco Tourism,その他,脱炭素レジャー・サービス,旅行サービスをエコに,Japan,全国,Country,エコツーリズム
Japan,-248.01,Other,Decarbonized Leisure and Service,Community Recreation,その他,脱炭素レジャー・サービス,レジャーをアウトドアや地域で,Japan,全国,Country,コミュニティーでの休暇
Japan,-7.93,Food,Seasonal and Local Food,Local Food,食,季節・地元の食材,地元で採れた野菜や果物を食べる,Japan,全国,Country,地産地消
Japan,-35.89,Food,Seasonal and Local Food,Seasonal Food,食,季節・地元の食材,旬の野菜や果物を食べる,Japan,全国,Country,旬産旬消
Japan,-54.25,Food,Food Loss,Food Loss Reduction,食,フードロス,食品ロスをゼロに,Japan,全国,Country,フードロス削減
Japan,-69.91,Food,Protein Shift,Pollotarian Diet,食,たんぱく源の転換,食事の肉類を鶏肉のみに,Japan,全国,Country,白身肉への転換
Japan,-73.08,Food,Protein Shift,Pescatarian Diet,食,たんぱく源の転換,食事の肉類を魚に,Japan,全国,Country,ペスカタリアン食
Japan,-184.94,Food,Protein Shift,Alternative Meat,食,たんぱく源の転換,食事の肉類を代替肉に,Japan,全国,Country,代替肉製品への転換
Japan,-126.09,Food,Dietary Shift,Food Guide Snacks/Drinks,食,食生活の転換,菓子・アルコール・ジュースを減らす,Japan,全国,Country,健康的な食生活（菓子・飲料）
Japan,-116.28,Food,Dietary Shift,Food Guide Meal,食,食生活の転換,バランスの取れた食事に,Japan,全国,Country,健康的な食生活（食事）
Japan,-217.51,Food,Dietary Shift,Vegetarian Diet,食,食生活の転換,食事を菜食（ベジタリアン）に,Japan,全国,Country,菜食（ベジタリアン）
Japan,-338.27,Food,Dietary Shift,Vegan Diet,食,食生活の転換,食事を完全菜食（ヴィーガン）に,Japan,全国,Country,完全菜食（ヴィーガン）
Japan,-59.14,Housing,Energy Behavior,Energy Saving by Nudging,住居,エネルギー節約行動,ナッジによる省エネ,Japan,全国,Country,ナッジングによるエネルギー節約
Japan,-112.85,Housing,Energy Behavior,Warm/Cool Clothes,住居,エネルギー節約行動,自宅でウォーム・クールビズ,Japan,全国,Country,自宅でウォーム・クールビズ
Japan,-92.19,Housing,Appliances,LED Lighting,住居,効率的な住宅設備,自宅の電球をLEDに,Japan,全国,Country,LED照明
Japan,-114.71,Housing,Appliances,Air Conditioner,住居,効率的な住宅設備,自宅の暖房をエアコンだけに,Japan,全国,Country,エアコン
Japan,-121.1,Housing,Appliances,Water Heat Pump,住居,効率的な住宅設備,ヒートポンプによる温水供給,Japan,全国,Country,ヒートポンプによる温水供給
Japan,-235.56,Housing,Housing Sufficiency,Compact House,住居,住居の充足性,自宅をコンパクトに,Japan,全国,Country,コンパクトな住居
Japan,-183.78,Housing,Renewable Energy,Solar Water Heater,住居,再生可能エネルギー,自宅に太陽熱温水器を導入,Japan,全国,Country,太陽光温水供給
Japan,-1231.98,Housing,Renewable Energy,Renewable Grid Electricity,住居,再生可能エネルギー,自宅の電力を再エネに,Japan,全国,Country,再生可能エネルギー系統電力
Japan,-1275.34,Housing,Renewable Energy,Rooftop Solar PV,住居,再生可能エネルギー,自宅に太陽光パネル設置,Japan,全国,Country,屋上太陽光パネル
Japan,-1352.24,Housing,Renewable Energy,Rooftop Solar PV (IH),住居,再生可能エネルギー,自宅に太陽光パネル設置・調理器をIHに,Japan,全国,Country,屋上太陽光パネル（IH調理器併用）
Japan,-46.63,Housing,Eco House,Window Insulation,住居,エコハウス,自宅の窓を二重窓に,Japan,全国,Country,窓の断熱
Japan,-142.15,Housing,Eco House,Insulation Renovation,住居,エコハウス,自宅を断熱リフォーム,Japan,全国,Country,断熱リノベーション
Japan,-1433.35,Housing,Eco House,Nearly Zero Energy House,住居,エコハウス,自宅を準ゼロエネルギー住宅に,Japan,全国,Country,準ゼロエネルギー住宅
